-0.358406 0     0.0514126 0
-0.403775 0.00174908     0.0511863 6.633e-05
-0.403785 0.00174237     0.0511918 6.62963e-05
-0.403798 0.00173573     0.051196 6.61788e-05
-0.403724 0.00173067     0.0511994 6.60121e-05
-0.403489 0.00173999     0.0511974 6.57903e-05
-0.403249 0.00174993     0.0511899 6.59669e-05
-0.403075 0.00175204     0.0511883 6.57386e-05
-0.403055 0.00174555     0.051185 6.55734e-05
-0.402949 0.00174222     0.0511783 6.56651e-05
-0.402871 0.00173746     0.0511746 6.5523e-05
-0.402904 0.00173131     0.0511739 6.52833e-05
-0.40297 0.00172616     0.0511742 6.50416e-05
-0.40294 0.00172004     0.0511725 6.48228e-05
-0.402803 0.00171922     0.0511649 6.50238e-05
-0.402797 0.00171292     0.0511603 6.49508e-05
-0.402568 0.00172192     0.0511575 6.47736e-05
-0.402467 0.00171862     0.0511575 6.45377e-05
-0.402369 0.00171517     0.051156 6.4321e-05
-0.402427 0.00170994     0.0511582 6.41272e-05
-0.402593 0.00171179     0.0511537 6.40519e-05
-0.402584 0.00170566     0.0511459 6.42996e-05
-0.402639 0.00170044     0.0511479 6.4102e-05
-0.402672 0.0016947     0.0511492 6.38863e-05
-0.402685 0.00168873     0.0511482 6.36667e-05
-0.402582 0.00168591     0.0511473 6.34484e-05
-0.402481 0.00168297     0.0511457 6.32452e-05
-0.402414 0.0016784     0.0511436 6.30567e-05
-0.402378 0.00167291     0.0511444 6.28413e-05
-0.402401 0.00166724     0.051143 6.26388e-05
-0.402557 0.0016687     0.0511452 6.24613e-05
-0.402789 0.001679     0.0511527 6.26927e-05
-0.402832 0.00167378     0.0511572 6.2634e-05
-0.402805 0.00166824     0.0511577 6.24203e-05
-0.402857 0.00166334     0.0511571 6.22087e-05
-0.40286 0.00165765     0.0511591 6.20295e-05
-0.402753 0.00165546     0.0511551 6.1952e-05
-0.402607 0.00165627     0.0511474 6.222e-05
-0.402527 0.00165263     0.0511459 6.20258e-05
-0.402397 0.0016522     0.051144 6.18473e-05
-0.402283 0.00165053     0.0511451 6.16492e-05
-0.402216 0.00164636     0.0511416 6.15413e-05
-0.402216 0.00164087     0.0511423 6.134e-05
-0.402227 0.00163544     0.0511412 6.11459e-05
-0.402199 0.00163025     0.0511432 6.0976e-05
-0.402128 0.00162641     0.0511441 6.07817e-05
-0.402022 0.00162453     0.0511455 6.05961e-05
-0.401891 0.00162449     0.0511396 6.06842e-05
-0.401798 0.00162184     0.0511386 6.04938e-05
-0.401835 0.00161699     0.0511421 6.03956e-05
-0.401883 0.00161243     0.0511375 6.03722e-05
-0.401726 0.00161481     0.051137 6.01783e-05
-0.401673 0.00161047     0.0511366 5.99853e-05
-0.401612 0.00160644     0.0511295 6.02138e-05
-0.40152 0.00160397     0.0511332 6.01365e-05
-0.401505 0.0015989     0.0511293 6.00708e-05
