-5.0346 0     2.03351 0
-5.03055 0.000504292     2.10473 0.00273986
-5.03054 0.000503178     2.10485 0.00273527
-5.03053 0.000501988     2.10499 0.00273201
-5.0305 0.000501418     2.10508 0.00272647
-5.03052 0.000500425     2.10492 0.00272411
-5.03053 0.00049922     2.10484 0.00271856
-5.03052 0.000498017     2.10494 0.00271361
-5.0305 0.00049697     2.10511 0.00271196
-5.03049 0.000495803     2.1052 0.00270659
-5.03045 0.000496568     2.10538 0.00270607
-5.03047 0.000495675     2.10522 0.00270451
-5.03048 0.000494613     2.10506 0.0027021
-5.03047 0.000493515     2.10511 0.00269572
-5.03046 0.000492299     2.10516 0.0026895
-5.03048 0.000491266     2.10508 0.00268392
-5.03052 0.000491672     2.10476 0.0026962
-5.0305 0.000490899     2.10487 0.00269158
-5.0305 0.00048971     2.1047 0.00269049
-5.0305 0.000488501     2.10484 0.00268778
-5.03051 0.000487309     2.1049 0.00268183
-5.03052 0.000486151     2.10484 0.00267607
-5.03056 0.000486611     2.10463 0.00267738
-5.03054 0.000485642     2.10475 0.00267357
-5.03051 0.00048516     2.10488 0.00267019
-5.03051 0.000484002     2.10487 0.00266371
-5.03049 0.000483056     2.10493 0.00265804
-5.03048 0.000482202     2.10505 0.00265427
-5.03049 0.000481121     2.10504 0.00264787
-5.03045 0.000481669     2.10516 0.00264404
-5.03043 0.000480664     2.10517 0.00263768
-5.03043 0.000479512     2.1051 0.00263216
-5.03038 0.000480782     2.10528 0.00263195
-5.03038 0.000479652     2.10524 0.00262599
-5.03037 0.00047865     2.10528 0.00262012
-5.03036 0.000477511     2.10531 0.00261403
-5.03033 0.000477731     2.10537 0.00260835
-5.03029 0.000478337     2.10572 0.00262595
-5.03031 0.000477882     2.10561 0.00262196
-5.03031 0.00047682     2.10572 0.00261796
-5.03032 0.000475948     2.10563 0.00261332
-5.03034 0.000475245     2.10556 0.00260809
-5.03032 0.000474443     2.10567 0.00260415
-5.03032 0.000473401     2.10565 0.0025981
-5.03029 0.000472859     2.10561 0.00259233
-5.03029 0.000471773     2.10566 0.00258672
-5.03032 0.000471545     2.10553 0.00258395
-5.03032 0.000470457     2.10558 0.00257845
