-6.66288 0     9.57917 0
-6.66567 9.85112e-05     9.57728 0.000545533
-6.66567 9.84575e-05     9.57719 0.000549768
-6.66567 9.82804e-05     9.57722 0.000548183
-6.66567 9.78649e-05     9.57728 0.000548664
-6.66566 9.76313e-05     9.57729 0.000546459
-6.66565 9.80286e-05     9.5773 0.000544205
-6.66566 9.78095e-05     9.57729 0.000541997
-6.66565 9.74209e-05     9.5773 0.000539854
-6.66564 9.75233e-05     9.57737 0.000541972
-6.66564 9.71221e-05     9.57739 0.000540076
-6.66563 9.71079e-05     9.57745 0.000541582
-6.66563 9.68457e-05     9.57748 0.000540463
-6.66562 9.66085e-05     9.57752 0.000539478
-6.66562 9.64497e-05     9.57755 0.000538347
-6.66561 9.61528e-05     9.57755 0.000536201
-6.66561 9.58107e-05     9.57754 0.000534055
-6.66562 9.56259e-05     9.57754 0.00053192
-6.6656 9.58785e-05     9.57754 0.000529804
-6.6656 9.55865e-05     9.57752 0.000528175
-6.6656 9.52884e-05     9.57751 0.000526108
-6.66559 9.50657e-05     9.5775 0.000524247
-6.66558 9.50086e-05     9.57753 0.000523181
-6.66557 9.5318e-05     9.57758 0.000523655
-6.66557 9.51925e-05     9.57758 0.000521614
-6.66556 9.5145e-05     9.57762 0.000520927
-6.66556 9.4843e-05     9.57758 0.000519927
-6.66556 9.44972e-05     9.57755 0.000518807
-6.66556 9.41708e-05     9.5776 0.000519177
-6.66556 9.38742e-05     9.57768 0.000522875
-6.66557 9.42726e-05     9.57767 0.000521033
-6.66556 9.43595e-05     9.5777 0.000519791
-6.66556 9.41079e-05     9.5777 0.000517897
-6.66556 9.40321e-05     9.57774 0.000517343
-6.66556 9.3688e-05     9.57772 0.000515883
-6.66555 9.35561e-05     9.57771 0.000514007
-6.66555 9.32077e-05     9.57774 0.000512876
-6.66554 9.30161e-05     9.57775 0.000511144
-6.66554 9.27734e-05     9.57774 0.000509352
-6.66553 9.33464e-05     9.57778 0.00050844
-6.66553 9.31141e-05     9.57774 0.000507999
-6.66553 9.29322e-05     9.57776 0.000506854
-6.66554 9.30696e-05     9.57777 0.000505053
-6.66553 9.30477e-05     9.57781 0.000504822
-6.66553 9.27113e-05     9.57782 0.000503055
-6.66553 9.24293e-05     9.57784 0.000501788
-6.66552 9.22923e-05     9.57785 0.000500021
-6.66552 9.19846e-05     9.57785 0.000498263
-6.66553 9.17345e-05     9.57786 0.0004965
-6.66552 9.18147e-05     9.57789 0.000495843
-6.6655 9.34889e-05     9.57801 0.000507702
-6.66551 9.34069e-05     9.57801 0.000505936
-6.66551 9.34924e-05     9.57801 0.00050416
-6.66552 9.31799e-05     9.57804 0.000503058
-6.66551 9.28689e-05     9.57803 0.00050133
-6.66551 9.28179e-05     9.57804 0.00049969
-6.6655 9.28453e-05     9.57806 0.000498263
-6.6655 9.2571e-05     9.57808 0.000497006
-6.6655 9.22964e-05     9.57807 0.000495395
-6.6655 9.19943e-05     9.57805 0.000494145
-6.6655 9.19008e-05     9.57806 0.000492498
-6.6655 9.20149e-05     9.57811 0.000493323
-6.66549 9.17024e-05     9.57807 0.000493028
-6.66551 9.221e-05     9.57804 0.000492394
-6.66551 9.19125e-05     9.57804 0.000490734
-6.66551 9.16206e-05     9.57805 0.000489284
-6.66551 9.13725e-05     9.57804 0.000487685
-6.66551 9.11847e-05     9.57804 0.000486068
-6.66551 9.10214e-05     9.57803 0.000484678
-6.66551 9.07328e-05     9.57802 0.000483159
-6.6655 9.07777e-05     9.57804 0.000481946
-6.66551 9.07347e-05     9.57801 0.000481135
-6.66551 9.04368e-05     9.578 0.000479637
-6.66551 9.01426e-05     9.57798 0.000478318
-6.66551 8.9865e-05     9.57801 0.000477591
-6.66551 8.96278e-05     9.57795 0.000480174
-6.66551 8.93515e-05     9.57792 0.000479495
-6.66551 8.90991e-05     9.57792 0.000477949
-6.66551 8.89099e-05     9.5779 0.000476905
-6.66551 8.86315e-05     9.57792 0.000475735
-6.66552 8.83931e-05     9.57789 0.000475071
-6.66551 8.81337e-05     9.5779 0.000473596
-6.66552 8.80239e-05     9.57793 0.000473389
